customer_id,month,acquisition_channel,region,age_band,account_tier,monthly_fee,joined_on_promo
1,2022-01,Comparison Site,Scotland,25-34,Classic,0,FALSE
2,2022-01,Online,London,55-64,Silver,11,FALSE
3,2022-01,Branch,South East,25-34,Platinum,28,FALSE
4,2022-01,Referral,London,25-34,Silver,0,TRUE
5,2022-01,Comparison Site,South East,35-44,Silver,11,FALSE
6,2022-01,Branch,South East,35-44,Gold,18,FALSE
7,2022-01,Outbound,Scotland,45-54,Silver,11,FALSE
8,2022-01,Online,South East,45-54,Silver,11,FALSE
9,2022-01,Online,North,35-44,Silver,11,FALSE
10,2022-01,Broker/IFA,Scotland,18-24,Gold,0,TRUE
11,2022-01,Comparison Site,South East,18-24,Classic,0,TRUE
12,2022-01,Referral,Scotland,18-24,Gold,18,FALSE
13,2022-01,Comparison Site,London,25-34,Classic,0,TRUE
14,2022-01,Online,Midlands,45-54,Silver,11,FALSE
15,2022-01,Branch,North,25-34,Silver,0,TRUE
16,2022-01,Comparison Site,London,25-34,Classic,0,TRUE
17,2022-01,Broker/IFA,Scotland,45-54,Silver,11,FALSE
18,2022-01,Comparison Site,London,45-54,Classic,0,TRUE
19,2022-01,Broker/IFA,South East,55-64,Gold,18,FALSE
20,2022-01,Broker/IFA,Scotland,55-64,Silver,11,FALSE
21,2022-01,Referral,Midlands,35-44,Silver,11,FALSE
22,2022-01,Broker/IFA,London,55-64,Platinum,28,FALSE
23,2022-01,Online,North,35-44,Silver,11,FALSE
24,2022-01,Broker/IFA,North,55-64,Platinum,28,FALSE
25,2022-01,Branch,North,45-54,Classic,0,TRUE
26,2022-01,Branch,Midlands,35-44,Silver,11,FALSE
27,2022-01,Online,North,25-34,Silver,11,FALSE
28,2022-01,Comparison Site,London,45-54,Silver,0,TRUE
29,2022-01,Comparison Site,Wales & NI,45-54,Gold,18,FALSE
30,2022-01,Referral,North,65+,Classic,0,FALSE
31,2022-01,Comparison Site,London,25-34,Classic,0,FALSE
32,2022-01,Referral,Scotland,45-54,Gold,18,FALSE
33,2022-01,Online,London,55-64,Platinum,0,TRUE
34,2022-01,Comparison Site,South East,55-64,Gold,18,FALSE
35,2022-01,Comparison Site,Wales & NI,18-24,Classic,0,TRUE
36,2022-01,Comparison Site,Scotland,45-54,Classic,0,FALSE
37,2022-01,Broker/IFA,London,35-44,Platinum,0,TRUE
38,2022-01,Outbound,Scotland,35-44,Classic,0,FALSE
39,2022-01,Online,London,45-54,Silver,11,FALSE
40,2022-01,Referral,Midlands,25-34,Silver,0,TRUE
41,2022-01,Comparison Site,South East,65+,Classic,0,TRUE
42,2022-01,Online,Wales & NI,35-44,Silver,11,FALSE
43,2022-01,Branch,London,18-24,Gold,18,FALSE
44,2022-01,Outbound,North,35-44,Classic,0,FALSE
45,2022-01,Outbound,London,35-44,Silver,0,TRUE
46,2022-01,Broker/IFA,Midlands,25-34,Gold,18,FALSE
47,2022-01,Comparison Site,North,25-34,Silver,0,TRUE
48,2022-01,Outbound,South East,45-54,Gold,18,FALSE
49,2022-01,Referral,South East,55-64,Silver,11,FALSE
50,2022-01,Online,South East,45-54,Gold,18,FALSE
51,2022-01,Outbound,Wales & NI,35-44,Classic,0,FALSE
52,2022-01,Online,Midlands,65+,Classic,0,FALSE
53,2022-01,Comparison Site,Midlands,45-54,Silver,0,TRUE
54,2022-01,Online,South East,35-44,Silver,11,FALSE
55,2022-01,Broker/IFA,London,45-54,Gold,18,FALSE
56,2022-01,Online,Midlands,18-24,Gold,18,FALSE
57,2022-01,Comparison Site,North,25-34,Classic,0,TRUE
58,2022-01,Comparison Site,Midlands,18-24,Classic,0,TRUE
59,2022-01,Online,London,35-44,Classic,0,FALSE
60,2022-01,Branch,London,25-34,Gold,18,FALSE
61,2022-01,Comparison Site,South East,35-44,Classic,0,FALSE
62,2022-01,Comparison Site,Midlands,18-24,Gold,0,TRUE
63,2022-01,Branch,Midlands,65+,Silver,11,FALSE
64,2022-01,Online,North,25-34,Classic,0,FALSE
65,2022-01,Referral,London,18-24,Classic,0,FALSE
66,2022-01,Comparison Site,South East,55-64,Classic,0,TRUE
67,2022-01,Branch,South East,65+,Gold,18,FALSE
68,2022-01,Referral,North,45-54,Silver,11,FALSE
69,2022-01,Online,South East,35-44,Silver,11,FALSE
70,2022-01,Outbound,South East,25-34,Silver,0,TRUE
71,2022-01,Outbound,Midlands,45-54,Silver,11,FALSE
72,2022-01,Online,North,55-64,Silver,11,FALSE
73,2022-01,Online,Scotland,25-34,Gold,0,TRUE
74,2022-01,Branch,Scotland,25-34,Classic,0,FALSE
75,2022-01,Broker/IFA,Midlands,35-44,Gold,18,FALSE
76,2022-01,Outbound,South East,25-34,Silver,0,TRUE
77,2022-01,Branch,South East,25-34,Platinum,28,FALSE
78,2022-01,Comparison Site,South East,25-34,Classic,0,TRUE
79,2022-01,Online,Wales & NI,25-34,Silver,11,FALSE
