signup_month,last_active,tenure_months,channel,age_band,region,first_plan,last_plan,total_revenue,max_paid,joined_on_promo,ever_paid,churned,reason_code
2022-01,2022-06,6,Comparison Site,25-34,Scotland,Classic,Classic,0,0,False,False,True,Switched provider
2022-01,2024-12,36,Online,55-64,London,Silver,Platinum,595,28,False,True,False,
2022-01,2024-12,36,Branch,25-34,South East,Platinum,Platinum,848,28,False,True,False,
2022-01,2024-12,36,Referral,25-34,London,Silver,Silver,330,11,True,True,False,
2022-01,2022-10,10,Comparison Site,35-44,South East,Silver,Classic,33,11,False,True,True,Bereavement
2022-01,2024-12,36,Branch,35-44,South East,Gold,Gold,536,18,False,True,False,
2022-01,2023-05,17,Outbound,45-54,Scotland,Silver,Silver,187,11,False,True,True,
2022-01,2024-12,36,Online,45-54,South East,Silver,Gold,508,18,False,True,False,
2022-01,2024-12,36,Online,35-44,North,Silver,Platinum,563,28,False,True,False,
2022-01,2024-12,36,Broker/IFA,18-24,Scotland,Gold,Platinum,840,28,True,True,False,
2022-01,2022-08,8,Comparison Site,18-24,South East,Classic,Classic,0,0,True,False,True,Switched provider
2022-01,2024-12,36,Referral,18-24,Scotland,Gold,Gold,648,18,False,True,False,
2022-01,2023-06,18,Comparison Site,25-34,London,Classic,Classic,0,0,True,False,True,Switched provider
2022-01,2024-06,30,Online,45-54,Midlands,Silver,Classic,110,11,False,True,True,
2022-01,2022-01,1,Branch,25-34,North,Silver,Silver,0,0,True,False,True,Fees too high
2022-01,2022-03,3,Comparison Site,25-34,London,Classic,Classic,0,0,True,False,True,Fees too high
2022-01,2022-01,1,Broker/IFA,45-54,Scotland,Silver,Silver,11,11,False,True,True,Switched provider
2022-01,2023-01,13,Comparison Site,45-54,London,Classic,Silver,55,11,True,True,True,Poor service
2022-01,2024-12,36,Broker/IFA,55-64,South East,Gold,Gold,818,28,False,True,False,
2022-01,2024-12,36,Broker/IFA,55-64,Scotland,Silver,Gold,729,28,False,True,False,
2022-01,2022-11,11,Referral,35-44,Midlands,Silver,Gold,177,18,False,True,True,Poor service
2022-01,2023-05,17,Broker/IFA,55-64,London,Platinum,Gold,386,28,False,True,True,Switched provider
2022-01,2024-12,36,Online,35-44,North,Silver,Silver,297,11,False,True,False,
2022-01,2022-09,9,Broker/IFA,55-64,North,Platinum,Gold,212,28,False,True,True,Unknown
2022-01,2024-12,36,Branch,45-54,North,Classic,Gold,570,28,True,True,False,
2022-01,2024-11,35,Branch,35-44,Midlands,Silver,Silver,504,18,False,True,True,Moved abroad
2022-01,2024-12,36,Online,25-34,North,Silver,Silver,187,11,False,True,False,
2022-01,2022-07,7,Comparison Site,45-54,London,Silver,Classic,0,0,True,False,True,
2022-01,2023-04,16,Comparison Site,45-54,Wales & NI,Gold,Silver,239,18,False,True,True,Fees too high
2022-01,2024-06,30,Referral,65+,North,Classic,Silver,209,11,False,True,True,Unknown
2022-01,2022-01,1,Comparison Site,25-34,London,Classic,Classic,0,0,False,False,True,Fees too high
2022-01,2024-12,36,Referral,45-54,Scotland,Gold,Gold,798,28,False,True,False,
2022-01,2024-12,36,Online,55-64,London,Platinum,Gold,570,28,True,True,False,
2022-01,2022-02,2,Comparison Site,55-64,South East,Gold,Gold,36,18,False,True,True,Switched provider
2022-01,2022-01,1,Comparison Site,18-24,Wales & NI,Classic,Classic,0,0,True,False,True,Fees too high
2022-01,2022-10,10,Comparison Site,45-54,Scotland,Classic,Classic,0,0,False,False,True,Switched provider
2022-01,2024-12,36,Broker/IFA,35-44,London,Platinum,Platinum,790,28,True,True,False,
2022-01,2022-05,5,Outbound,35-44,Scotland,Classic,Classic,0,0,False,False,True,
2022-01,2024-12,36,Online,45-54,London,Silver,Gold,508,18,False,True,False,
2022-01,2022-12,12,Referral,25-34,Midlands,Silver,Silver,66,11,True,True,True,
2022-01,2022-12,12,Comparison Site,65+,South East,Classic,Classic,0,0,True,False,True,Bereavement
2022-01,2023-03,15,Online,35-44,Wales & NI,Silver,Silver,200,18,False,True,True,Bereavement
2022-01,2024-12,36,Branch,18-24,London,Gold,Gold,648,18,False,True,False,
2022-01,2024-12,36,Outbound,35-44,North,Classic,Classic,0,0,False,False,False,
2022-01,2022-07,7,Outbound,35-44,London,Silver,Silver,11,11,True,True,True,Unknown
2022-01,2024-03,27,Broker/IFA,25-34,Midlands,Gold,Silver,494,28,False,True,True,Poor service
2022-01,2024-03,27,Comparison Site,25-34,North,Silver,Classic,176,11,True,True,True,Fees too high
2022-01,2024-12,36,Outbound,45-54,South East,Gold,Gold,620,18,False,True,False,
2022-01,2024-12,36,Referral,55-64,South East,Silver,Platinum,614,28,False,True,False,
