acquisition_month,acquisition_channel,spend_gbp,new_customers,cac_gbp
2022-01,Branch,7310.0,49,149.18367346938774
2022-01,Broker/IFA,4014.0,21,191.14285714285714
2022-01,Comparison Site,3162.0,81,39.03703703703704
2022-01,Online,3945.0,58,68.01724137931035
2022-01,Outbound,4899.0,39,125.61538461538461
2022-01,Referral,1872.0,32,58.5
2022-02,Branch,7882.0,51,154.54901960784315
2022-02,Broker/IFA,1989.0,10,198.9
2022-02,Comparison Site,3266.0,80,40.825
2022-02,Online,4231.0,68,62.220588235294116
2022-02,Outbound,5548.0,46,120.6086956521739
2022-02,Referral,2344.0,40,58.6
2022-03,Branch,6792.0,44,154.36363636363637
2022-03,Broker/IFA,5159.0,24,214.95833333333334
2022-03,Comparison Site,2804.0,72,38.94444444444444
2022-03,Online,5394.0,81,66.5925925925926
2022-03,Outbound,4134.0,36,114.83333333333333
2022-03,Referral,2161.0,38,56.86842105263158
2022-04,Branch,9152.0,59,155.11864406779662
2022-04,Broker/IFA,2358.0,13,181.3846153846154
2022-04,Comparison Site,2765.0,77,35.90909090909091
2022-04,Online,5239.0,77,68.03896103896103
2022-04,Outbound,4415.0,37,119.32432432432432
2022-04,Referral,1876.0,30,62.53333333333333
2022-05,Branch,7144.0,48,148.83333333333334
2022-05,Broker/IFA,4637.0,23,201.6086956521739
2022-05,Comparison Site,3850.0,97,39.69072164948454
2022-05,Online,5145.0,70,73.5
2022-05,Outbound,4894.0,39,125.48717948717949
2022-05,Referral,1818.0,33,55.09090909090909
2022-06,Branch,7903.0,50,158.06
2022-06,Broker/IFA,3571.0,19,187.94736842105263
2022-06,Comparison Site,3019.0,78,38.705128205128204
2022-06,Online,5900.0,81,72.8395061728395
2022-06,Outbound,4083.0,36,113.41666666666667
2022-06,Referral,2715.0,45,60.333333333333336
2022-07,Branch,8906.0,63,141.36507936507937
2022-07,Broker/IFA,5366.0,27,198.74074074074073
2022-07,Comparison Site,3974.0,99,40.14141414141414
2022-07,Online,5392.0,77,70.02597402597402
2022-07,Outbound,3506.0,31,113.09677419354838
2022-07,Referral,2703.0,43,62.86046511627907
2022-08,Branch,8143.0,59,138.01694915254237
2022-08,Broker/IFA,5196.0,26,199.84615384615384
2022-08,Comparison Site,4137.0,112,36.9375
2022-08,Online,5458.0,86,63.46511627906977
2022-08,Outbound,5453.0,49,111.28571428571429
2022-08,Referral,2581.0,44,58.65909090909091
2022-09,Branch,7943.0,53,149.8679245283019
2022-09,Broker/IFA,3718.0,18,206.55555555555554
2022-09,Comparison Site,3888.0,96,40.5
2022-09,Online,6367.0,92,69.20652173913044
2022-09,Outbound,5484.0,45,121.86666666666666
2022-09,Referral,2700.0,43,62.7906976744186
2022-10,Branch,9990.0,68,146.91176470588235
2022-10,Broker/IFA,4790.0,24,199.58333333333334
2022-10,Comparison Site,4717.0,122,38.66393442622951
2022-10,Online,5093.0,76,67.01315789473684
2022-10,Outbound,4654.0,39,119.33333333333333
2022-10,Referral,1526.0,25,61.04
2022-11,Branch,10300.0,62,166.1290322580645
2022-11,Broker/IFA,6410.0,31,206.7741935483871
2022-11,Comparison Site,4499.0,113,39.8141592920354
2022-11,Online,6698.0,84,79.73809523809524
2022-11,Outbound,5084.0,42,121.04761904761905
2022-11,Referral,3332.0,56,59.5
2022-12,Branch,7238.0,53,136.56603773584905
2022-12,Broker/IFA,4894.0,23,212.7826086956522
2022-12,Comparison Site,5270.0,132,39.92424242424242
2022-12,Online,5999.0,86,69.75581395348837
2022-12,Outbound,5700.0,48,118.75
2022-12,Referral,3359.0,53,63.37735849056604
2023-01,Branch,9939.0,69,144.04347826086956
2023-01,Broker/IFA,4871.0,26,187.34615384615384
2023-01,Comparison Site,4938.0,125,39.504
2023-01,Online,6525.0,93,70.16129032258064
2023-01,Outbound,4521.0,40,113.025
2023-01,Referral,2802.0,46,60.91304347826087
2023-02,Branch,9533.0,66,144.43939393939394
2023-02,Broker/IFA,4125.0,21,196.42857142857142
2023-02,Comparison Site,3913.0,103,37.99029126213592
2023-02,Online,6309.0,88,71.69318181818181
2023-02,Outbound,6621.0,55,120.38181818181818
2023-02,Referral,3124.0,51,61.254901960784316
2023-03,Branch,8831.0,56,157.69642857142858
2023-03,Broker/IFA,5218.0,25,208.72
2023-03,Comparison Site,4658.0,122,38.18032786885246
2023-03,Online,7962.0,113,70.46017699115045
2023-03,Outbound,6247.0,50,124.94
2023-03,Referral,2856.0,49,58.285714285714285
2023-04,Branch,10009.0,62,161.43548387096774
2023-04,Broker/IFA,5297.0,28,189.17857142857142
2023-04,Comparison Site,4954.0,135,36.696296296296296
2023-04,Online,7165.0,107,66.96261682242991
2023-04,Outbound,7255.0,57,127.28070175438596
2023-04,Referral,3082.0,54,57.074074074074076
2023-05,Branch,9568.0,66,144.96969696969697
2023-05,Broker/IFA,6252.0,31,201.67741935483872
2023-05,Comparison Site,4642.0,116,40.01724137931034
2023-05,Online,7316.0,105,69.67619047619047
2023-05,Outbound,4924.0,42,117.23809523809524
2023-05,Referral,2309.0,40,57.725
2023-06,Branch,9331.0,61,152.9672131147541
2023-06,Broker/IFA,6489.0,32,202.78125
2023-06,Comparison Site,4409.0,115,38.33913043478261
2023-06,Online,8273.0,119,69.52100840336135
2023-06,Outbound,5902.0,49,120.44897959183673
2023-06,Referral,3376.0,57,59.228070175438596
2023-07,Branch,10323.0,66,156.4090909090909
2023-07,Broker/IFA,5365.0,27,198.7037037037037
2023-07,Comparison Site,4640.0,120,38.666666666666664
2023-07,Online,6488.0,97,66.88659793814433
2023-07,Outbound,6699.0,52,128.82692307692307
2023-07,Referral,2539.0,41,61.926829268292686
2023-08,Branch,10327.0,66,156.46969696969697
2023-08,Broker/IFA,3571.0,19,187.94736842105263
2023-08,Comparison Site,5035.0,128,39.3359375
