month,total_spend,branch,broker,comp,online,out,refer
2022-01,25202.0,7310.0,4014.0,3162.0,3945.0,4899.0,1872.0
2022-02,25260.0,7882.0,1989.0,3266.0,4231.0,5548.0,2344.0
2022-03,26444.0,6792.0,5159.0,2804.0,5394.0,4134.0,2161.0
2022-04,25805.0,9152.0,2358.0,2765.0,5239.0,4415.0,1876.0
2022-05,27488.0,7144.0,4637.0,3850.0,5145.0,4894.0,1818.0
2022-06,27191.0,7903.0,3571.0,3019.0,5900.0,4083.0,2715.0
2022-07,29847.0,8906.0,5366.0,3974.0,5392.0,3506.0,2703.0
2022-08,30968.0,8143.0,5196.0,4137.0,5458.0,5453.0,2581.0
2022-09,30100.0,7943.0,3718.0,3888.0,6367.0,5484.0,2700.0
2022-10,30770.0,9990.0,4790.0,4717.0,5093.0,4654.0,1526.0
2022-11,36323.0,10300.0,6410.0,4499.0,6698.0,5084.0,3332.0
2022-12,32460.0,7238.0,4894.0,5270.0,5999.0,5700.0,3359.0
2023-01,33596.0,9939.0,4871.0,4938.0,6525.0,4521.0,2802.0
2023-02,33625.0,9533.0,4125.0,3913.0,6309.0,6621.0,3124.0
2023-03,35772.0,8831.0,5218.0,4658.0,7962.0,6247.0,2856.0
2023-04,37762.0,10009.0,5297.0,4954.0,7165.0,7255.0,3082.0
2023-05,35011.0,9568.0,6252.0,4642.0,7316.0,4924.0,2309.0
2023-06,37780.0,9331.0,6489.0,4409.0,8273.0,5902.0,3376.0
2023-07,36054.0,10323.0,5365.0,4640.0,6488.0,6699.0,2539.0
2023-08,36489.0,10327.0,3571.0,5035.0,7390.0,6792.0,3374.0
2023-09,39824.0,12198.0,6637.0,5007.0,6940.0,6356.0,2686.0
2023-10,41135.0,11393.0,5081.0,5072.0,8028.0,7145.0,4416.0
2023-11,40491.0,9311.0,6537.0,5006.0,8541.0,7128.0,3968.0
2023-12,43918.0,13418.0,6180.0,5272.0,8823.0,7342.0,2883.0
2024-01,44119.0,10550.0,5242.0,6464.0,10727.0,8339.0,2797.0
2024-02,45574.0,12487.0,4764.0,6144.0,8876.0,8622.0,4681.0
2024-03,40778.0,12463.0,6074.0,5270.0,7540.0,6486.0,2945.0
2024-04,44339.0,12278.0,5123.0,6394.0,10029.0,8076.0,2439.0
2024-05,48280.0,11106.0,6304.0,6261.0,10533.0,9022.0,5054.0
2024-06,49300.0,13465.0,7825.0,6951.0,8862.0,8141.0,4056.0
2024-07,44320.0,12489.0,6232.0,6708.0,9108.0,6790.0,2993.0
2024-08,52147.0,14317.0,9234.0,6975.0,8696.0,8643.0,4282.0
2024-09,50176.0,14501.0,6706.0,6516.0,9209.0,9994.0,3250.0
2024-10,50902.0,13104.0,7471.0,7119.0,9468.0,10067.0,3673.0
2024-11,55181.0,14121.0,6978.0,7509.0,12579.0,9002.0,4992.0
2024-12,51169.0,13802.0,5342.0,7198.0,9074.0,11296.0,4457.0
